aX,aY,aZ,gX,gY,gZ
-2.000,1.320,-0.985,-350.748,-88.427,175.786
-2.000,1.227,-1.052,-344.412,-100.901,193.206
-2.000,1.130,-1.082,-340.015,-110.947,206.916
-2.000,1.034,-1.169,-337.939,-120.031,216.702
-2.000,0.956,-1.274,-338.137,-124.931,221.893
-2.000,0.834,-1.418,-341.359,-125.695,223.206
-1.995,0.683,-1.574,-347.206,-122.397,222.061
-1.864,0.530,-1.785,-353.053,-115.618,219.908
-1.720,0.383,-2.000,-355.634,-105.863,217.115
-1.630,0.200,-2.000,-351.740,-97.405,213.420
-1.554,-0.004,-2.000,-338.153,-90.336,209.038
-1.468,-0.267,-2.000,-309.740,-80.321,203.618
-1.479,-0.381,-2.000,-263.908,-68.321,191.557
-1.489,-0.621,-2.000,-201.282,-63.191,176.198
-1.480,-0.838,-1.885,-120.992,-61.359,154.824
-1.446,-0.992,-1.691,-31.252,-60.397,128.031
-1.387,-1.057,-1.477,64.198,-60.305,94.748
-1.327,-0.959,-1.254,155.084,-60.061,55.771
-1.292,-0.797,-1.068,237.878,-64.153,11.420
-1.256,-0.668,-0.953,308.977,-74.183,-33.908
-1.254,-0.440,-0.767,367.771,-85.664,-78.687
-1.121,-0.263,-0.764,412.702,-93.756,-116.458
-1.088,-0.013,-0.519,441.893,-101.344,-151.756
-0.920,0.338,-0.398,459.298,-106.992,-182.641
-0.771,0.602,-0.356,462.427,-110.000,-205.450
-0.588,0.858,-0.383,453.359,-110.137,-221.160
-0.384,1.099,-0.429,433.252,-104.962,-227.985
-0.176,1.277,-0.501,405.084,-96.412,-224.656
-0.004,1.404,-0.567,368.519,-81.405,-213.359
0.135,1.500,-0.690,326.260,-60.901,-194.656
0.264,1.562,-0.778,281.710,-39.008,-171.756
0.361,1.555,-0.872,236.015,-17.160,-144.977
0.414,1.510,-0.937,189.466,1.160,-115.130
0.438,1.445,-0.970,149.328,13.969,-87.802
0.442,1.338,-0.940,112.137,25.832,-60.840
0.367,1.173,-0.941,83.450,33.710,-36.061
0.307,1.060,-0.964,65.618,34.458,-14.947
0.209,0.900,-0.961,56.855,31.420,3.160
0.113,0.728,-1.011,56.183,27.053,18.473
0.010,0.608,-0.956,60.702,18.137,30.305
-0.089,0.469,-1.048,70.458,6.641,39.954
-0.173,0.383,-1.083,85.298,-8.702,47.649
-0.258,0.267,-1.100,104.229,-24.015,53.527
-0.343,0.147,-1.110,125.511,-38.672,57.725
-0.409,0.077,-1.135,147.939,-52.351,59.298
-0.503,-0.017,-1.183,171.481,-67.023,57.695
-0.583,-0.077,-1.239,194.718,-82.076,52.931
-0.637,-0.138,-1.312,217.267,-96.550,45.573
-0.684,-0.199,-1.335,239.878,-109.557,36.183
-0.713,-0.242,-1.367,261.023,-120.580,25.237
-0.714,-0.243,-1.375,281.771,-126.290,12.962
-0.706,-0.248,-1.429,301.679,-130.534,0.061
-0.694,-0.248,-1.458,319.557,-130.977,-11.221
-0.665,-0.264,-1.453,335.954,-129.344,-20.931
-0.657,-0.263,-1.457,349.160,-122.489,-28.107
-0.652,-0.273,-1.445,358.901,-113.527,-32.702
-0.662,-0.249,-1.414,365.176,-100.473,-35.985
-0.665,-0.252,-1.357,368.275,-86.748,-38.794
-0.662,-0.262,-1.315,367.802,-75.267,-42.275
-0.643,-0.268,-1.247,364.504,-65.924,-46.534
-0.624,-0.252,-1.145,357.389,-58.351,-51.634
-0.597,-0.240,-1.061,347.191,-50.611,-57.298
-0.568,-0.246,-0.985,336.275,-44.229,-63.282
-0.522,-0.243,-0.931,324.977,-38.626,-68.443
-0.487,-0.238,-0.860,314.824,-33.969,-72.336
-0.455,-0.238,-0.795,305.038,-30.382,-74.840
-0.459,-0.260,-0.753,296.412,-28.031,-76.504
-0.456,-0.280,-0.710,288.611,-27.893,-77.084
-0.462,-0.320,-0.678,281.160,-29.618,-77.237
-0.460,-0.375,-0.655,275.344,-33.267,-76.183
-0.459,-0.444,-0.638,271.008,-39.405,-73.924
-0.454,-0.507,-0.613,269.802,-47.573,-71.008
-0.433,-0.550,-0.608,270.931,-57.313,-67.542
-0.401,-0.594,-0.606,274.702,-68.168,-64.763
-0.374,-0.633,-0.594,280.305,-79.298,-63.160
-0.346,-0.675,-0.603,287.115,-90.931,-62.931
-0.308,-0.686,-0.612,294.351,-101.725,-63.863
-0.260,-0.676,-0.643,301.130,-111.832,-65.069
-0.227,-0.636,-0.674,305.893,-117.496,-66.687
-0.201,-0.627,-0.696,306.473,-118.504,-67.328
-0.178,-0.640,-0.712,303.679,-116.733,-67.405
-0.146,-0.661,-0.711,297.786,-112.733,-66.824
-0.128,-0.691,-0.718,289.695,-108.153,-65.603
-0.108,-0.719,-0.701,280.702,-103.878,-64.504
-0.068,-0.754,-0.687,270.733,-99.954,-64.443
-0.043,-0.767,-0.661,261.328,-97.176,-65.038

-0.910,1.158,-0.948,-288.458,-42.519,13.649
-0.925,1.172,-0.990,-286.824,-43.771,15.084
-0.945,1.181,-1.006,-285.237,-44.977,16.718
-0.951,1.197,-1.009,-283.695,-46.107,18.656
-1.003,1.236,-1.038,-278.504,-49.664,27.176
-1.056,1.279,-1.055,-273.008,-52.443,40.931
-1.095,1.280,-1.067,-268.504,-54.046,56.656
-1.162,1.273,-1.054,-265.603,-54.962,73.435
-1.238,1.266,-1.070,-263.893,-55.740,90.504
-1.313,1.233,-1.083,-263.496,-57.649,105.954
-1.367,1.179,-1.125,-264.855,-60.794,121.374
-1.423,1.110,-1.094,-267.282,-65.145,135.206
-1.486,1.033,-1.119,-270.092,-70.214,147.893
-1.549,0.946,-1.159,-271.847,-75.344,158.336
-1.604,0.871,-1.217,-272.382,-81.176,166.931
-1.651,0.774,-1.312,-271.786,-87.008,172.901
-1.671,0.669,-1.413,-269.985,-92.809,177.038
-1.668,0.570,-1.517,-267.267,-98.382,179.252
-1.656,0.448,-1.610,-262.382,-103.511,180.000
-1.646,0.317,-1.695,-252.840,-106.244,179.588
-1.646,0.158,-1.760,-238.275,-107.389,178.015
-1.648,-0.006,-1.814,-216.824,-105.359,174.611
-1.656,-0.158,-1.838,-188.244,-101.481,168.962
-1.640,-0.305,-1.866,-153.740,-95.527,160.168
